nombre,lat,lon
MEDELLÍN,6.24858636743,284.4539982866
ABEJORRAL,5.78930111433,284.6012596096
ABRIAQUÍ,6.63228195504,283.9657051322
ALEJANDRÍA,6.37606264274,284.888665499
AMAGÁ,6.03880842381,284.3280516611
AMALFI,6.90967360478,284.9525250761
ANDES,5.65676971311,284.151205925
ANGELÓPOLIS,6.10961277767,284.3186466163
ANGOSTURA,6.88518441484,284.6948908814
ANORÍ,7.07471004137,284.8816550391
SANTA FÉ DE ANTIOQUIA,6.55653286033,284.2029216784
ANZÁ,6.3026667644,284.175551241
APARTADÓ,7.88325108195,283.4041090783
ARBOLETES,8.84991827334,283.6033418361
ARGELIA,5.73147922832,284.8889366405
ARMENIA,6.15567240561,284.2433754631
BARBOSA,6.4392260115,284.6983596983
BELMIRA,6.60615865921,284.3626262758
BELLO,6.33406558292,284.4753326947
BETANIA,5.74619656152,284.0532860586
BETULIA,6.11525553285,284.0454844301
CIUDAD BOLÍVAR,5.85027282845,284.0084893185
BRICEÑO,7.11280551402,284.479643696
BURITICÁ,6.72064775464,284.1229438464
CÁCERES,7.57831474335,284.6776426847
CAICEDO,6.40556397358,284.0471876351
CALDAS,6.09129760323,284.3963831752
CAMPAMENTO,6.97977648289,284.731915216
CAÑASGORDAS,6.7538443832,284.0017762786
CARACOLÍ,6.40985175825,285.2725457121
CARAMANTA,5.54853427166,284.3861287346
CAREPA,7.75511548219,283.376789256
EL CARMEN DE VIBORAL,6.08347326731,284.6957379768
CAROLINA DEL PRÍNCIPE,6.72597625966,284.7468319537
CAUCASIA,7.97734097812,284.8317215355
CHIGORODÓ,7.66630069082,283.3487853869
CISNEROS,6.53776304826,284.9427948659
COCORNÁ,6.05830616761,284.8445182756
CONCEPCIÓN,6.39435397644,284.772398757
CONCORDIA,6.04608659615,284.1215464806
COPACABANA,6.34863947056,284.5206564881
DABEIBA,6.99811575168,283.7683821773
DONMATÍAS,6.48560723899,284.6373248712
EBÉJICO,6.32605663471,284.2637863393
EL BAGRE,7.5975218855,285.2309029881
ENTRERRÍOS,6.56648234736,284.512194307
ENVIGADO,6.16700589298,284.4469910631
FREDONIA,5.9280855467,284.3549067484
FRONTINO,6.77606285319,283.8992347882
GIRALDO,6.68080793863,284.0778426985
GIRARDOTA,6.37961535607,284.5855402319
GÓMEZ PLATA,6.68327964232,284.8099639082
GRANADA,6.1429023597,284.8455499361
GUADALUPE,6.81506996357,284.7901435194
GUARNE,6.27802696108,284.5883464288
GUATAPÉ,6.23240969843,284.8699791182
HELICONIA,6.20676229056,284.2956677111
HISPANIA,5.79946280832,284.123409034
ITAGÜÍ,6.174929734,284.4179184717
ITUANGO,7.17163748398,284.2653247724
JARDÍN,5.59753984677,284.2110192185
JERICÓ,5.78974203756,284.2444961469
LA CEJA,6.02805465836,284.6005670728
